Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
22-02-1985,0.0,2.0415547897841844,1.969500184059143,1.969500184059143,57150,0.0,0.0
25-02-1985,0.0,2.0175363817251704,1.969500184059143,1.969500184059143,80550,0.0,0.0
26-02-1985,0.0,1.9935185551837549,1.945481538772583,1.945481538772583,90000,0.0,0.0
27-02-1985,0.0,1.9695003086902976,1.9214634895324707,1.9214634895324707,75600,0.0,0.0
28-02-1985,0.0,2.0895926854281317,2.041555643081665,2.041555643081665,387000,0.0,0.0
01-03-1985,0.0,2.1376279272478715,2.1136093139648438,2.1136093139648438,626850,0.0,0.0
04-03-1985,0.0,2.233701334979631,2.1856651306152344,2.1856651306152344,349200,0.0,0.0
05-03-1985,0.0,2.3057570278181836,2.185665369929228,2.2577199935913086,769050,0.0,0.0
06-03-1985,0.0,2.3057570278181836,2.2577199935913086,2.2577199935913086,126900,0.0,0.0
07-03-1985,0.0,2.2577191657144464,2.185664568473869,2.2096831798553467,495000,0.0,0.0
08-03-1985,0.0,2.209683748174172,2.1376283077987503,2.1856651306152344,118350,0.0,0.0
11-03-1985,0.0,2.1856646523471626,2.041554627733319,2.1376278400421143,231300,0.0,0.0
12-03-1985,0.0,2.1376279272478715,2.065573324302742,2.1136093139648438,331650,0.0,0.0
13-03-1985,0.0,2.1136102789229754,2.041555643081665,2.041555643081665,60300,0.0,0.0
14-03-1985,0.0,2.0895915031433105,2.041554487976048,2.0895915031433105,126900,0.0,0.0
15-03-1985,0.0,2.1136090830490777,2.0655730986349976,2.0895915031433105,97200,0.0,0.0
18-03-1985,0.0,2.0895926854281317,2.0175372249838084,2.041555643081665,77400,0.0,0.0
19-03-1985,0.0,2.041555643081665,1.9935196314889643,2.041555643081665,22050,0.0,0.0
20-03-1985,0.0,2.041554943691661,1.969500332534611,1.9935189485549927,273600,0.0,0.0
21-03-1985,0.0,1.993518924419891,1.9214634895324707,1.9214634895324707,31500,0.0,0.0
22-03-1985,0.0,2.017536509396084,1.9214634895324707,1.9214634895324707,502650,0.0,0.0
25-03-1985,0.0,1.9935189485549927,1.9214635127952129,1.9935189485549927,135900,0.0,0.0
26-03-1985,0.0,1.9935189485549927,1.969500332534611,1.9935189485549927,146700,0.0,0.0
27-03-1985,0.0,1.993518798268824,1.9214633679411148,1.969500184059143,268200,0.0,0.0
28-03-1985,0.0,1.9454818688061328,1.8974448442459106,1.8974448442459106,35550,0.0,0.0
29-03-1985,0.0,1.945481899111384,1.8974448738028773,1.9214634895324707,179100,0.0,0.0
01-04-1985,0.0,1.945481899111384,1.8974448738028773,1.9214634895324707,66600,0.0,0.0
02-04-1985,0.0,1.945481899111384,1.9214634895324707,1.9214634895324707,37800,0.0,0.0
03-04-1985,0.0,1.969500184059143,1.9454817760001288,1.969500184059143,18450,0.0,0.0
04-04-1985,0.0,1.9695003086902976,1.9214634895324707,1.9214634895324707,19350,0.0,0.0
08-04-1985,0.0,1.9935185551837549,1.945481538772583,1.945481538772583,58500,0.0,0.0
09-04-1985,0.0,1.9935185551837549,1.921463133642318,1.945481538772583,23400,0.0,0.0
10-04-1985,0.0,1.945481538772583,1.8974445223614111,1.945481538772583,118800,0.0,0.0
11-04-1985,0.0,1.945481538772583,1.921463133642318,1.945481538772583,21600,0.0,0.0
12-04-1985,0.0,1.945481899111384,1.9214634895324707,1.9214634895324707,14850,0.0,0.0
15-04-1985,0.0,1.945481538772583,1.921463133642318,1.945481538772583,8550,0.0,0.0
16-04-1985,0.0,2.0175366401672363,1.9214636140764347,2.0175366401672363,72000,0.0,0.0
17-04-1985,0.0,2.0175363817251704,1.969500184059143,1.969500184059143,29250,0.0,0.0
18-04-1985,0.0,2.0175365338219615,1.9935189485549927,1.9935189485549927,10800,0.0,0.0
19-04-1985,0.0,2.0175363817251704,1.969500184059143,1.969500184059143,276300,0.0,0.0
22-04-1985,0.0,1.9695003086902976,1.9214634895324707,1.9214634895324707,77850,0.0,0.0
23-04-1985,0.0,1.945481538772583,1.8974445223614111,1.945481538772583,31050,0.0,0.0
24-04-1985,0.0,1.945481899111384,1.9214634895324707,1.9214634895324707,20250,0.0,0.0
25-04-1985,0.0,1.945481538772583,1.921463133642318,1.945481538772583,11700,0.0,0.0
26-04-1985,0.0,1.945481538772583,1.921463133642318,1.945481538772583,121500,0.0,0.0
29-04-1985,0.0,1.945481881474439,1.8494088624817842,1.8734272718429565,418950,0.0,0.0
30-04-1985,0.0,1.8974451999877056,1.8013721636084283,1.8253905773162842,80550,0.0,0.0
01-05-1985,0.0,1.82538986690773,1.7773538827896118,1.7773538827896118,101250,0.0,0.0
02-05-1985,0.0,1.8253905773162842,1.7773545745034343,1.8253905773162842,23850,0.0,0.0
03-05-1985,0.0,1.82538986690773,1.7773538827896118,1.7773538827896118,400050,0.0,0.0
06-05-1985,0.0,1.8253904634486033,1.753335845271942,1.8013720512390137,135450,0.0,0.0
07-05-1985,0.0,1.8253905773162842,1.7533359546448628,1.8253905773162842,616500,0.0,0.0
08-05-1985,0.0,1.8253905773162842,1.7773545745034343,1.8253905773162842,21150,0.0,0.0
09-05-1985,0.0,1.8734272718429565,1.7773542528503017,1.8734272718429565,169200,0.0,0.0
10-05-1985,0.0,1.9214634895324707,1.8253902635181771,1.9214634895324707,128700,0.0,0.0
13-05-1985,0.0,1.92146345960136,1.8974448442459106,1.8974448442459106,74700,0.0,0.0
14-05-1985,0.0,1.9214634895324707,1.8974448738028773,1.9214634895324707,111600,0.0,0.0
15-05-1985,0.0,1.9214634721132666,1.8734272718429565,1.8734272718429565,67500,0.0,0.0
16-05-1985,0.0,1.9214634895324707,1.8974448738028773,1.9214634895324707,198450,0.0,0.0
17-05-1985,0.0,2.041555051302957,1.8974449967900209,2.0175366401672363,362700,0.0,0.0
20-05-1985,0.0,2.041554943691661,1.9935189485549927,1.9935189485549927,80100,0.0,0.0
21-05-1985,0.0,2.0175365338219615,1.9935189485549927,1.9935189485549927,51300,0.0,0.0
22-05-1985,0.0,1.993518798268824,1.9454817760001288,1.969500184059143,58950,0.0,0.0
23-05-1985,0.0,1.969500184059143,1.9214633679411148,1.969500184059143,141750,0.0,0.0
24-05-1985,0.0,1.9695003086902976,1.9214634895324707,1.9214634895324707,113400,0.0,0.0
28-05-1985,0.0,1.945481538772583,1.921463133642318,1.945481538772583,65700,0.0,0.0
29-05-1985,0.0,1.945481538772583,1.8974445223614111,1.945481538772583,86850,0.0,0.0
30-05-1985,0.0,1.945481538772583,1.8734269418337135,1.945481538772583,46800,0.0,0.0
31-05-1985,0.0,1.9214634721132666,1.8734272718429565,1.8734272718429565,28350,0.0,0.0
03-06-1985,0.0,1.921463819846277,1.8253905773162842,1.8253905773162842,32850,0.0,0.0
04-06-1985,0.0,1.8494090818088955,1.753335845271942,1.8013720512390137,38700,0.0,0.0
05-06-1985,0.0,1.8013717812477432,1.705298662185669,1.705298662185669,63450,0.0,0.0
