date,AZN,isPartial
2013-10-05,30,False
2013-10-06,51,False
2013-10-07,54,False
2013-10-08,72,False
2013-10-09,43,False
2013-10-10,56,False
2013-10-11,52,False
2013-10-12,68,False
2013-10-13,47,False
2013-10-14,73,False
2013-10-15,64,False
2013-10-16,49,False
2013-10-17,64,False
2013-10-18,64,False
2013-10-19,86,False
2013-10-20,50,False
2013-10-21,67,False
2013-10-22,37,False
2013-10-23,59,False
2013-10-24,55,False
2013-10-25,49,False
2013-10-26,64,False
2013-10-27,63,False
2013-10-28,51,False
2013-10-29,68,False
2013-10-30,59,False
2013-10-31,47,False
2013-11-01,75,False
2013-11-02,58,False
2013-11-03,67,False
2013-11-04,69,False
2013-11-05,70,False
2013-11-06,62,False
2013-11-07,49,False
2013-11-08,78,False
2013-11-09,50,False
2013-11-10,45,False
2013-11-11,67,False
2013-11-12,76,False
2013-11-13,52,False
2013-11-14,56,False
2013-11-15,62,False
2013-11-16,52,False
2013-11-17,57,False
2013-11-18,65,False
2013-11-19,66,False
2013-11-20,74,False
2013-11-21,56,False
2013-11-22,62,False
2013-11-23,60,False
2013-11-24,58,False
2013-11-25,54,False
2013-11-26,60,False
2013-11-27,49,False
2013-11-28,66,False
2013-11-29,60,False
2013-11-30,62,False
2013-12-01,62,False
2013-12-02,57,False
2013-12-03,64,False
2013-12-04,58,False
2013-12-05,47,False
2013-12-06,75,False
2013-12-07,81,False
2013-12-08,68,False
2013-12-09,64,False
2013-12-10,65,False
2013-12-11,54,False
2013-12-12,54,False
2013-12-13,48,False
2013-12-14,70,False
2013-12-15,50,False
2013-12-16,58,False
2013-12-17,73,False
2013-12-18,62,False
2013-12-19,84,False
2013-12-20,100,False
2013-12-21,61,False
2013-12-22,86,False
2013-12-23,71,False
2013-12-24,90,False
2013-12-25,41,False
2013-12-26,77,False
2013-12-27,84,False
2013-12-28,80,False
2013-12-29,45,False
2013-12-30,56,False
2013-12-31,84,False
2014-01-01,35,False
2014-01-02,44,False
2014-01-03,34,False
2014-01-04,30,False
2014-01-05,29,False
2014-01-06,19,False
2014-01-07,57,False
2014-01-08,45,False
2014-01-09,40,False
2014-01-10,39,False
2014-01-11,39,False
2014-01-12,39,False
2014-01-13,37,False
2014-01-14,37,False
2014-01-15,32,False
2014-01-16,40,False
2014-01-17,31,False
2014-01-18,28,False
2014-01-19,30,False
2014-01-20,28,False
2014-01-21,37,False
2014-01-22,21,False
2014-01-23,39,False
2014-01-24,43,False
2014-01-25,36,False
2014-01-26,35,False
2014-01-27,37,False
2014-01-28,35,False
2014-01-29,27,False
2014-01-30,29,False
2014-01-31,45,False
2014-02-01,30,False
2014-02-02,23,False
2014-02-03,29,False
2014-02-04,28,False
2014-02-05,27,False
2014-02-06,32,False
2014-02-07,30,False
2014-02-08,24,False
2014-02-09,25,False
2014-02-10,29,False
2014-02-11,29,False
2014-02-12,22,False
2014-02-13,30,False
2014-02-14,30,False
2014-02-15,31,False
2014-02-16,25,False
2014-02-17,34,False
2014-02-18,30,False
2014-02-19,35,False
2014-02-20,36,False
2014-02-21,31,False
2014-02-22,26,False
2014-02-23,22,False
2014-02-24,17,False
2014-02-25,26,False
2014-02-26,28,False
2014-02-27,29,False
2014-02-28,34,False
2014-03-01,27,False
2014-03-02,31,False
2014-03-03,29,False
2014-03-04,34,False
2014-03-05,32,False
2014-03-06,27,False
2014-03-07,24,False
2014-03-08,31,False
2014-03-09,36,False
2014-03-10,25,False
2014-03-11,27,False
2014-03-12,20,False
2014-03-13,25,False
2014-03-14,32,False
2014-03-15,35,False
2014-03-16,11,False
2014-03-17,27,False
2014-03-18,17,False
2014-03-19,27,False
2014-03-20,30,False
2014-03-21,21,False
2014-03-22,32,False
2014-03-23,27,False
2014-03-24,27,False
2014-03-25,33,False
2014-03-26,18,False
2014-03-27,33,False
2014-03-28,24,False
2014-03-29,23,False
2014-03-30,27,False
2014-03-31,30,False
2014-04-01,32,False
2014-04-02,20,False
2014-04-03,30,False
2014-04-04,29,False
2014-04-05,27,False
2014-04-06,21,False
2014-04-07,22,False
2014-04-08,33,False
2014-04-09,25,False
2014-04-10,28,False
2014-04-11,29,False
2014-04-12,26,False
2014-04-13,29,False
2014-04-14,34,False
2014-04-15,23,False
2014-04-16,32,False
2014-04-17,53,False
2014-04-18,35,False
2014-04-19,35,False
2014-04-20,32,False
2014-04-21,58,False
2014-04-22,45,False
2014-04-23,39,False
2014-04-24,48,False
2014-04-25,30,False
2014-04-26,36,False
2014-04-27,30,False
2014-04-28,75,False
2014-04-29,48,False
2014-04-30,44,False
2014-05-01,46,False
2014-05-02,70,False
2014-05-03,37,False
2014-05-04,43,False
2014-05-05,48,False
2014-05-06,42,False
2014-05-07,35,False
2014-05-08,48,False
2014-05-09,40,False
2014-05-10,30,False
2014-05-11,32,False
2014-05-12,40,False
2014-05-13,40,False
2014-05-14,38,False
2014-05-15,46,False
2014-05-16,47,False
2014-05-17,26,False
2014-05-18,22,False
2014-05-19,100,False
2014-05-20,51,False
2014-05-21,62,False
2014-05-22,46,False
2014-05-23,44,False
2014-05-24,35,False
2014-05-25,32,False
2014-05-26,34,False
2014-05-27,45,False
2014-05-28,38,False
2014-05-29,33,False
2014-05-30,28,False
2014-05-31,21,False
2014-06-01,22,False
2014-06-02,43,False
2014-06-03,33,False
2014-06-04,39,False
2014-06-05,35,False
2014-06-06,27,False
2014-06-07,27,False
2014-06-08,19,False
2014-06-09,35,False
2014-06-10,27,False
2014-06-11,32,False
2014-06-12,25,False
2014-06-13,41,False
2014-06-14,35,False
2014-06-15,29,False
2014-06-16,36,False
2014-06-17,40,False
2014-06-18,37,False
2014-06-19,26,False
2014-06-20,44,False
2014-06-21,33,False
2014-06-22,19,False
2014-06-23,35,False
2014-06-24,35,False
2014-06-25,37,False
2014-06-26,34,False
2014-06-27,33,False
2014-06-28,32,False
2014-06-29,28,False
2014-06-30,30,False
2014-07-01,61,False
2014-07-02,52,False
2014-07-03,50,False
2014-07-04,57,False
2014-07-05,59,False
2014-07-06,46,False
2014-07-07,55,False
2014-07-08,57,False
2014-07-09,48,False
2014-07-10,47,False
2014-07-11,57,False
2014-07-12,67,False
2014-07-13,35,False
2014-07-14,47,False
2014-07-15,64,False
2014-07-16,73,False
2014-07-17,59,False
2014-07-18,64,False
2014-07-19,54,False
2014-07-20,49,False
2014-07-21,66,False
2014-07-22,83,False
2014-07-23,56,False
2014-07-24,65,False
2014-07-25,73,False
2014-07-26,55,False
2014-07-27,56,False
