date,ON,isPartial
2011-10-02,81,False
2011-10-03,72,False
2011-10-04,76,False
2011-10-05,79,False
2011-10-06,73,False
2011-10-07,73,False
2011-10-08,77,False
2011-10-09,77,False
2011-10-10,80,False
2011-10-11,80,False
2011-10-12,78,False
2011-10-13,76,False
2011-10-14,82,False
2011-10-15,75,False
2011-10-16,81,False
2011-10-17,74,False
2011-10-18,82,False
2011-10-19,81,False
2011-10-20,73,False
2011-10-21,76,False
2011-10-22,73,False
2011-10-23,78,False
2011-10-24,74,False
2011-10-25,76,False
2011-10-26,76,False
2011-10-27,74,False
2011-10-28,74,False
2011-10-29,75,False
2011-10-30,75,False
2011-10-31,77,False
2011-11-01,77,False
2011-11-02,76,False
2011-11-03,77,False
2011-11-04,74,False
2011-11-05,78,False
2011-11-06,81,False
2011-11-07,78,False
2011-11-08,76,False
2011-11-09,76,False
2011-11-10,78,False
2011-11-11,77,False
2011-11-12,79,False
2011-11-13,82,False
2011-11-14,76,False
2011-11-15,82,False
2011-11-16,79,False
2011-11-17,77,False
2011-11-18,77,False
2011-11-19,75,False
2011-11-20,81,False
2011-11-21,77,False
2011-11-22,74,False
2011-11-23,76,False
2011-11-24,78,False
2011-11-25,77,False
2011-11-26,81,False
2011-11-27,81,False
2011-11-28,83,False
2011-11-29,81,False
2011-11-30,78,False
2011-12-01,71,False
2011-12-02,74,False
2011-12-03,77,False
2011-12-04,78,False
2011-12-05,80,False
2011-12-06,75,False
2011-12-07,77,False
2011-12-08,78,False
2011-12-09,75,False
2011-12-10,76,False
2011-12-11,81,False
2011-12-12,76,False
2011-12-13,78,False
2011-12-14,81,False
2011-12-15,79,False
2011-12-16,73,False
2011-12-17,71,False
2011-12-18,79,False
2011-12-19,74,False
2011-12-20,73,False
2011-12-21,74,False
2011-12-22,75,False
2011-12-23,76,False
2011-12-24,82,False
2011-12-25,100,False
2011-12-26,86,False
2011-12-27,80,False
2011-12-28,81,False
2011-12-29,78,False
2011-12-30,81,False
2011-12-31,86,False
2012-01-01,100,False
2012-01-02,93,False
2012-01-03,91,False
2012-01-04,92,False
2012-01-05,93,False
2012-01-06,98,False
2012-01-07,95,False
2012-01-08,96,False
2012-01-09,90,False
2012-01-10,89,False
2012-01-11,87,False
2012-01-12,90,False
2012-01-13,90,False
2012-01-14,92,False
2012-01-15,99,False
2012-01-16,92,False
2012-01-17,85,False
2012-01-18,89,False
2012-01-19,90,False
2012-01-20,91,False
2012-01-21,93,False
2012-01-22,97,False
2012-01-23,90,False
2012-01-24,92,False
2012-01-25,92,False
2012-01-26,91,False
2012-01-27,90,False
2012-01-28,95,False
2012-01-29,97,False
2012-01-30,90,False
2012-01-31,87,False
2012-02-01,89,False
2012-02-02,86,False
2012-02-03,92,False
2012-02-04,90,False
2012-02-05,97,False
2012-02-06,88,False
2012-02-07,91,False
2012-02-08,87,False
2012-02-09,88,False
2012-02-10,87,False
2012-02-11,89,False
2012-02-12,92,False
2012-02-13,98,False
2012-02-14,91,False
2012-02-15,87,False
2012-02-16,86,False
2012-02-17,90,False
2012-02-18,89,False
2012-02-19,94,False
2012-02-20,93,False
2012-02-21,95,False
2012-02-22,90,False
2012-02-23,87,False
2012-02-24,85,False
2012-02-25,91,False
2012-02-26,94,False
2012-02-27,91,False
2012-02-28,91,False
2012-02-29,92,False
2012-03-01,88,False
2012-03-02,86,False
2012-03-03,86,False
2012-03-04,95,False
2012-03-05,85,False
2012-03-06,91,False
2012-03-07,86,False
2012-03-08,88,False
2012-03-09,90,False
2012-03-10,93,False
2012-03-11,92,False
2012-03-12,92,False
2012-03-13,87,False
2012-03-14,88,False
2012-03-15,89,False
2012-03-16,87,False
2012-03-17,93,False
2012-03-18,97,False
2012-03-19,90,False
2012-03-20,93,False
2012-03-21,87,False
2012-03-22,93,False
2012-03-23,85,False
2012-03-24,87,False
2012-03-25,97,False
2012-03-26,90,False
2012-03-27,88,False
2012-03-28,94,False
2012-03-29,86,False
2012-03-30,85,False
2012-03-31,92,False
2012-04-01,96,False
2012-04-02,88,False
2012-04-03,92,False
2012-04-04,92,False
2012-04-05,90,False
2012-04-06,93,False
2012-04-07,89,False
2012-04-08,98,False
2012-04-09,92,False
2012-04-10,88,False
2012-04-11,89,False
2012-04-12,87,False
2012-04-13,90,False
2012-04-14,87,False
2012-04-15,92,False
2012-04-16,87,False
2012-04-17,96,False
2012-04-18,91,False
2012-04-19,89,False
