date,SIRI,isPartial
2020-09-24,79,False
2020-09-25,78,False
2020-09-26,83,False
2020-09-27,74,False
2020-09-28,69,False
2020-09-29,79,False
2020-09-30,76,False
2020-10-01,75,False
2020-10-02,81,False
2020-10-03,73,False
2020-10-04,77,False
2020-10-05,70,False
2020-10-06,67,False
2020-10-07,68,False
2020-10-08,68,False
2020-10-09,68,False
2020-10-10,72,False
2020-10-11,77,False
2020-10-12,71,False
2020-10-13,69,False
2020-10-14,68,False
2020-10-15,73,False
2020-10-16,67,False
2020-10-17,83,False
2020-10-18,76,False
2020-10-19,74,False
2020-10-20,69,False
2020-10-21,74,False
2020-10-22,78,False
2020-10-23,67,False
2020-10-24,77,False
2020-10-25,84,False
2020-10-26,66,False
2020-10-27,68,False
2020-10-28,63,False
2020-10-29,69,False
2020-10-30,70,False
2020-10-31,75,False
2020-11-01,76,False
2020-11-02,67,False
2020-11-03,69,False
2020-11-04,60,False
2020-11-05,64,False
2020-11-06,66,False
2020-11-07,75,False
2020-11-08,80,False
2020-11-09,85,False
2020-11-10,74,False
2020-11-11,73,False
2020-11-12,73,False
2020-11-13,70,False
2020-11-14,82,False
2020-11-15,83,False
2020-11-16,63,False
2020-11-17,71,False
2020-11-18,72,False
2020-11-19,72,False
2020-11-20,76,False
2020-11-21,80,False
2020-11-22,72,False
2020-11-23,68,False
2020-11-24,70,False
2020-11-25,67,False
2020-11-26,74,False
2020-11-27,73,False
2020-11-28,76,False
2020-11-29,72,False
2020-11-30,63,False
2020-12-01,71,False
2020-12-02,71,False
2020-12-03,68,False
2020-12-04,67,False
2020-12-05,78,False
2020-12-06,77,False
2020-12-07,68,False
2020-12-08,73,False
2020-12-09,71,False
2020-12-10,67,False
2020-12-11,78,False
2020-12-12,77,False
2020-12-13,78,False
2020-12-14,75,False
2020-12-15,74,False
2020-12-16,70,False
2020-12-17,70,False
2020-12-18,74,False
2020-12-19,73,False
2020-12-20,76,False
2020-12-21,70,False
2020-12-22,79,False
2020-12-23,72,False
2020-12-24,79,False
2020-12-25,96,False
2020-12-26,89,False
2020-12-27,85,False
2020-12-28,82,False
2020-12-29,81,False
2020-12-30,75,False
2020-12-31,78,False
2021-01-01,100,False
2021-01-02,92,False
2021-01-03,90,False
2021-01-04,82,False
2021-01-05,78,False
2021-01-06,84,False
2021-01-07,80,False
2021-01-08,86,False
2021-01-09,97,False
2021-01-10,97,False
2021-01-11,76,False
2021-01-12,84,False
2021-01-13,88,False
2021-01-14,92,False
2021-01-15,86,False
2021-01-16,90,False
2021-01-17,85,False
2021-01-18,81,False
2021-01-19,84,False
2021-01-20,85,False
2021-01-21,82,False
2021-01-22,84,False
2021-01-23,96,False
2021-01-24,100,False
2021-01-25,84,False
2021-01-26,78,False
