date,WBA,isPartial
2010-03-13,39,False
2010-03-14,34,False
2010-03-15,33,False
2010-03-16,38,False
2010-03-17,40,False
2010-03-18,31,False
2010-03-19,40,False
2010-03-20,34,False
2010-03-21,41,False
2010-03-22,45,False
2010-03-23,38,False
2010-03-24,49,False
2010-03-25,25,False
2010-03-26,34,False
2010-03-27,50,False
2010-03-28,55,False
2010-03-29,34,False
2010-03-30,33,False
2010-03-31,41,False
2010-04-01,34,False
2010-04-02,48,False
2010-04-03,58,False
2010-04-04,44,False
2010-04-05,35,False
2010-04-06,31,False
2010-04-07,25,False
2010-04-08,27,False
2010-04-09,36,False
2010-04-10,45,False
2010-04-11,46,False
2010-04-12,33,False
2010-04-13,25,False
2010-04-14,34,False
2010-04-15,31,False
2010-04-16,17,False
2010-04-17,35,False
2010-04-18,36,False
2010-04-19,37,False
2010-04-20,37,False
2010-04-21,22,False
2010-04-22,36,False
2010-04-23,32,False
2010-04-24,27,False
2010-04-25,49,False
2010-04-26,59,False
2010-04-27,35,False
2010-04-28,23,False
2010-04-29,35,False
2010-04-30,55,False
2010-05-01,33,False
2010-05-02,46,False
2010-05-03,37,False
2010-05-04,39,False
2010-05-05,31,False
2010-05-06,38,False
2010-05-07,21,False
2010-05-08,41,False
2010-05-09,37,False
2010-05-10,29,False
2010-05-11,28,False
2010-05-12,39,False
2010-05-13,28,False
2010-05-14,31,False
2010-05-15,26,False
2010-05-16,49,False
2010-05-17,58,False
2010-05-18,31,False
2010-05-19,21,False
2010-05-20,22,False
2010-05-21,36,False
2010-05-22,21,False
2010-05-23,34,False
2010-05-24,28,False
2010-05-25,32,False
2010-05-26,23,False
2010-05-27,23,False
2010-05-28,39,False
2010-05-29,39,False
2010-05-30,41,False
2010-05-31,30,False
2010-06-01,38,False
2010-06-02,36,False
2010-06-03,37,False
2010-06-04,34,False
2010-06-05,26,False
2010-06-06,35,False
2010-06-07,36,False
2010-06-08,37,False
2010-06-09,29,False
2010-06-10,28,False
2010-06-11,29,False
2010-06-12,27,False
2010-06-13,28,False
2010-06-14,28,False
2010-06-15,30,False
2010-06-16,24,False
2010-06-17,43,False
2010-06-18,34,False
2010-06-19,26,False
2010-06-20,37,False
2010-06-21,24,False
2010-06-22,30,False
2010-06-23,24,False
2010-06-24,27,False
2010-06-25,33,False
2010-06-26,26,False
2010-06-27,17,False
2010-06-28,23,False
2010-06-29,24,False
2010-06-30,27,False
2010-07-01,25,False
2010-07-02,17,False
2010-07-03,19,False
2010-07-04,32,False
2010-07-05,22,False
2010-07-06,18,False
2010-07-07,31,False
2010-07-08,26,False
2010-07-09,23,False
2010-07-10,28,False
2010-07-11,21,False
2010-07-12,27,False
2010-07-13,35,False
2010-07-14,25,False
