date,HON,isPartial
2010-02-23,38,False
2010-02-24,41,False
2010-02-25,38,False
2010-02-26,44,False
2010-02-27,49,False
2010-02-28,47,False
2010-03-01,38,False
2010-03-02,38,False
2010-03-03,39,False
2010-03-04,38,False
2010-03-05,41,False
2010-03-06,44,False
2010-03-07,43,False
2010-03-08,36,False
2010-03-09,35,False
2010-03-10,38,False
2010-03-11,39,False
2010-03-12,39,False
2010-03-13,48,False
2010-03-14,45,False
2010-03-15,37,False
2010-03-16,39,False
2010-03-17,41,False
2010-03-18,40,False
2010-03-19,45,False
2010-03-20,53,False
2010-03-21,51,False
2010-03-22,42,False
2010-03-23,41,False
2010-03-24,41,False
2010-03-25,70,False
2010-03-26,65,False
2010-03-27,65,False
2010-03-28,57,False
2010-03-29,56,False
2010-03-30,49,False
2010-03-31,53,False
2010-04-01,60,False
2010-04-02,61,False
2010-04-03,62,False
2010-04-04,59,False
2010-04-05,53,False
2010-04-06,49,False
2010-04-07,48,False
2010-04-08,49,False
2010-04-09,53,False
2010-04-10,100,False
2010-04-11,68,False
2010-04-12,50,False
2010-04-13,45,False
2010-04-14,47,False
2010-04-15,48,False
2010-04-16,50,False
2010-04-17,62,False
2010-04-18,59,False
2010-04-19,44,False
2010-04-20,45,False
2010-04-21,48,False
2010-04-22,50,False
2010-04-23,51,False
2010-04-24,56,False
2010-04-25,60,False
2010-04-26,45,False
2010-04-27,43,False
2010-04-28,62,False
2010-04-29,45,False
2010-04-30,46,False
2010-05-01,52,False
2010-05-02,51,False
2010-05-03,42,False
2010-05-04,43,False
2010-05-05,44,False
2010-05-06,42,False
2010-05-07,47,False
2010-05-08,52,False
2010-05-09,53,False
2010-05-10,54,False
2010-05-11,48,False
2010-05-12,53,False
2010-05-13,63,False
2010-05-14,55,False
2010-05-15,58,False
2010-05-16,51,False
2010-05-17,41,False
2010-05-18,38,False
2010-05-19,40,False
2010-05-20,38,False
2010-05-21,40,False
2010-05-22,50,False
2010-05-23,44,False
2010-05-24,40,False
2010-05-25,39,False
2010-05-26,39,False
2010-05-27,34,False
2010-05-28,39,False
2010-05-29,45,False
2010-05-30,46,False
2010-05-31,37,False
2010-06-01,34,False
2010-06-02,36,False
2010-06-03,38,False
2010-06-04,40,False
2010-06-05,47,False
2010-06-06,43,False
2010-06-07,34,False
2010-06-08,37,False
2010-06-09,36,False
2010-06-10,37,False
2010-06-11,35,False
2010-06-12,40,False
2010-06-13,39,False
2010-06-14,34,False
2010-06-15,34,False
2010-06-16,34,False
2010-06-17,33,False
2010-06-18,36,False
2010-06-19,45,False
2010-06-20,45,False
2010-06-21,38,False
2010-06-22,36,False
2010-06-23,35,False
2010-06-24,36,False
2010-06-25,39,False
2010-06-26,41,False
2010-06-27,42,False
2010-06-28,37,False
2010-06-29,38,False
2010-06-30,35,False
2010-07-01,71,False
2010-07-02,80,False
2010-07-03,93,False
2010-07-04,84,False
2010-07-05,73,False
2010-07-06,68,False
2010-07-07,66,False
2010-07-08,68,False
2010-07-09,69,False
2010-07-10,80,False
2010-07-11,81,False
2010-07-12,65,False
2010-07-13,67,False
2010-07-14,65,False
2010-07-15,67,False
2010-07-16,70,False
2010-07-17,91,False
2010-07-18,81,False
2010-07-19,67,False
2010-07-20,65,False
2010-07-21,67,False
2010-07-22,64,False
2010-07-23,70,False
2010-07-24,78,False
2010-07-25,81,False
2010-07-26,65,False
2010-07-27,69,False
2010-07-28,61,False
2010-07-29,77,False
2010-07-30,72,False
2010-07-31,82,False
2010-08-01,80,False
2010-08-02,66,False
2010-08-03,80,False
2010-08-04,72,False
2010-08-05,79,False
2010-08-06,73,False
2010-08-07,87,False
2010-08-08,80,False
2010-08-09,69,False
2010-08-10,70,False
2010-08-11,71,False
2010-08-12,71,False
2010-08-13,75,False
2010-08-14,86,False
2010-08-15,78,False
2010-08-16,66,False
2010-08-17,70,False
2010-08-18,72,False
2010-08-19,69,False
2010-08-20,66,False
2010-08-21,83,False
2010-08-22,79,False
2010-08-23,65,False
2010-08-24,70,False
2010-08-25,69,False
2010-08-26,66,False
2010-08-27,71,False
2010-08-28,81,False
2010-08-29,80,False
2010-08-30,60,False
2010-08-31,64,False
2010-09-01,71,False
2010-09-02,67,False
2010-09-03,68,False
2010-09-04,79,False
2010-09-05,80,False
2010-09-06,62,False
2010-09-07,60,False
2010-09-08,63,False
2010-09-09,68,False
2010-09-10,69,False
2010-09-11,86,False
2010-09-12,81,False
2010-09-13,66,False
2010-09-14,71,False
2010-09-15,62,False
2010-09-16,68,False
2010-09-17,68,False
2010-09-18,84,False
2010-09-19,74,False
2010-09-20,63,False
2010-09-21,64,False
2010-09-22,65,False
2010-09-23,64,False
2010-09-24,68,False
2010-09-25,79,False
2010-09-26,79,False
2010-09-27,64,False
2010-09-28,64,False
2010-09-29,67,False
2010-09-30,63,False
2010-10-01,67,False
2010-10-02,85,False
2010-10-03,79,False
2010-10-04,69,False
2010-10-05,69,False
2010-10-06,66,False
2010-10-07,61,False
2010-10-08,74,False
2010-10-09,81,False
2010-10-10,78,False
2010-10-11,65,False
2010-10-12,65,False
2010-10-13,67,False
2010-10-14,65,False
2010-10-15,69,False
2010-10-16,86,False
2010-10-17,79,False
2010-10-18,62,False
2010-10-19,66,False
2010-10-20,64,False
2010-10-21,74,False
2010-10-22,72,False
2010-10-23,84,False
2010-10-24,78,False
2010-10-25,66,False
2010-10-26,63,False
2010-10-27,59,False
2010-10-28,64,False
2010-10-29,70,False
2010-10-30,86,False
2010-10-31,79,False
2010-11-01,73,False
2010-11-02,68,False
2010-11-03,63,False
2010-11-04,67,False
2010-11-05,68,False
2010-11-06,78,False
2010-11-07,74,False
2010-11-08,69,False
2010-11-09,71,False
2010-11-10,68,False
2010-11-11,69,False
2010-11-12,73,False
2010-11-13,82,False
2010-11-14,79,False
2010-11-15,71,False
2010-11-16,72,False
2010-11-17,66,False
2010-11-18,65,False
2010-11-19,75,False
2010-11-20,76,False
2010-11-21,74,False
2010-11-22,63,False
2010-11-23,66,False
2010-11-24,68,False
2010-11-25,74,False
2010-11-26,69,False
2010-11-27,89,False
2010-11-28,78,False
2010-11-29,65,False
2010-11-30,71,False
2010-12-01,70,False
2010-12-02,72,False
2010-12-03,81,False
2010-12-04,89,False
