date,MRNA,isPartial
2015-11-12,77,False
2015-11-13,65,False
2015-11-14,25,False
2015-11-15,53,False
2015-11-16,75,False
2015-11-17,68,False
2015-11-18,78,False
2015-11-19,77,False
2015-11-20,72,False
2015-11-21,31,False
2015-11-22,42,False
2015-11-23,72,False
2015-11-24,59,False
2015-11-25,43,False
2015-11-26,35,False
2015-11-27,31,False
2015-11-28,27,False
2015-11-29,39,False
2015-11-30,65,False
2015-12-01,75,False
2015-12-02,77,False
2015-12-03,87,False
2015-12-04,70,False
2015-12-05,38,False
2015-12-06,47,False
2015-12-07,88,False
2015-12-08,95,False
2015-12-09,91,False
2015-12-10,100,False
2015-12-11,76,False
2015-12-12,32,False
2015-12-13,40,False
2015-12-14,80,False
2015-12-15,70,False
2015-12-16,69,False
2015-12-17,63,False
2015-12-18,44,False
2015-12-19,10,False
2015-12-20,18,False
2015-12-21,31,False
2015-12-22,22,False
2015-12-23,19,False
2015-12-24,11,False
2015-12-25,6,False
2015-12-26,8,False
2015-12-27,12,False
2015-12-28,18,False
2015-12-29,18,False
2015-12-30,16,False
2015-12-31,14,False
2016-01-01,12,False
2016-01-02,22,False
2016-01-03,26,False
2016-01-04,47,False
2016-01-05,56,False
2016-01-06,54,False
2016-01-07,62,False
2016-01-08,60,False
2016-01-09,22,False
2016-01-10,37,False
2016-01-11,68,False
2016-01-12,70,False
2016-01-13,68,False
2016-01-14,74,False
2016-01-15,67,False
2016-01-16,22,False
2016-01-17,40,False
2016-01-18,48,False
2016-01-19,70,False
2016-01-20,72,False
2016-01-21,89,False
2016-01-22,58,False
2016-01-23,22,False
2016-01-24,44,False
2016-01-25,80,False
2016-01-26,85,False
2016-01-27,87,False
2016-01-28,84,False
2016-01-29,65,False
2016-01-30,39,False
2016-01-31,49,False
2016-02-01,81,False
2016-02-02,90,False
2016-02-03,83,False
2016-02-04,91,False
2016-02-05,79,False
2016-02-06,27,False
2016-02-07,47,False
2016-02-08,88,False
2016-02-09,100,False
2016-02-10,96,False
2016-02-11,91,False
2016-02-12,68,False
2016-02-13,25,False
2016-02-14,35,False
2016-02-15,62,False
2016-02-16,87,False
2016-02-17,83,False
2016-02-18,81,False
2016-02-19,82,False
2016-02-20,32,False
2016-02-21,52,False
2016-02-22,89,False
2016-02-23,80,False
2016-02-24,85,False
2016-02-25,89,False
2016-02-26,70,False
2016-02-27,29,False
2016-02-28,48,False
2016-02-29,94,False
2016-03-01,92,False
2016-03-02,86,False
2016-03-03,91,False
2016-03-04,81,False
2016-03-05,35,False
2016-03-06,46,False
2016-03-07,86,False
2016-03-08,90,False
2016-03-09,86,False
2016-03-10,95,False
2016-03-11,75,False
2016-03-12,32,False
2016-03-13,45,False
2016-03-14,94,False
2016-03-15,78,False
2016-03-16,85,False
2016-03-17,72,False
2016-03-18,72,False
2016-03-19,30,False
2016-03-20,44,False
2016-03-21,69,False
2016-03-22,70,False
2016-03-23,68,False
2016-03-24,61,False
2016-03-25,38,False
2016-03-26,34,False
2016-03-27,37,False
2016-03-28,48,False
2016-03-29,66,False
2016-03-30,67,False
2016-03-31,68,False
2016-04-01,60,False
2016-04-02,30,False
2016-04-03,42,False
2016-04-04,74,False
2016-04-05,77,False
2016-04-06,83,False
2016-04-07,82,False
2016-04-08,69,False
2016-04-09,31,False
2016-04-10,50,False
2016-04-11,82,False
2016-04-12,82,False
2016-04-13,86,False
2016-04-14,81,False
2016-04-15,68,False
2016-04-16,35,False
2016-04-17,42,False
2016-04-18,74,False
2016-04-19,70,False
2016-04-20,84,False
2016-04-21,74,False
2016-04-22,78,False
2016-04-23,33,False
2016-04-24,37,False
2016-04-25,78,False
2016-04-26,76,False
2016-04-27,80,False
2016-04-28,63,False
2016-04-29,62,False
2016-04-30,29,False
2016-05-01,41,False
2016-05-02,79,False
2016-05-03,77,False
2016-05-04,65,False
2016-05-05,61,False
2016-05-06,59,False
2016-05-07,39,False
2016-05-08,40,False
2016-05-09,71,False
2016-05-10,67,False
2016-05-11,57,False
2016-05-12,62,False
2016-05-13,54,False
2016-05-14,21,False
2016-05-15,37,False
2016-05-16,57,False
2016-05-17,56,False
2016-05-18,60,False
2016-05-19,60,False
2016-05-20,50,False
2016-05-21,26,False
2016-05-22,39,False
2016-05-23,55,False
2016-05-24,55,False
2016-05-25,59,False
2016-05-26,48,False
2016-05-27,34,False
2016-05-28,25,False
2016-05-29,34,False
2016-05-30,47,False
2016-05-31,52,False
2016-06-01,46,False
2016-06-02,53,False
2016-06-03,43,False
2016-06-04,26,False
2016-06-05,35,False
2016-06-06,51,False
2016-06-07,46,False
2016-06-08,52,False
2016-06-09,54,False
2016-06-10,38,False
2016-06-11,23,False
2016-06-12,32,False
2016-06-13,49,False
2016-06-14,41,False
2016-06-15,40,False
2016-06-16,33,False
2016-06-17,33,False
