date,EXC,isPartial
2014-02-13,66,False
2014-02-14,71,False
2014-02-15,62,False
2014-02-16,77,False
2014-02-17,74,False
2014-02-18,67,False
2014-02-19,80,False
2014-02-20,68,False
2014-02-21,60,False
2014-02-22,79,False
2014-02-23,72,False
2014-02-24,77,False
2014-02-25,78,False
2014-02-26,77,False
2014-02-27,72,False
2014-02-28,71,False
2014-03-01,76,False
2014-03-02,69,False
2014-03-03,81,False
2014-03-04,73,False
2014-03-05,81,False
2014-03-06,72,False
2014-03-07,69,False
2014-03-08,66,False
2014-03-09,89,False
2014-03-10,85,False
2014-03-11,81,False
2014-03-12,83,False
2014-03-13,76,False
2014-03-14,76,False
2014-03-15,85,False
2014-03-16,78,False
2014-03-17,80,False
2014-03-18,78,False
2014-03-19,87,False
2014-03-20,66,False
2014-03-21,75,False
2014-03-22,84,False
2014-03-23,95,False
2014-03-24,84,False
2014-03-25,84,False
2014-03-26,77,False
2014-03-27,71,False
2014-03-28,73,False
2014-03-29,79,False
2014-03-30,76,False
2014-03-31,80,False
2014-04-01,84,False
2014-04-02,81,False
2014-04-03,76,False
2014-04-04,68,False
2014-04-05,75,False
2014-04-06,81,False
2014-04-07,98,False
2014-04-08,86,False
2014-04-09,85,False
2014-04-10,82,False
2014-04-11,74,False
2014-04-12,78,False
2014-04-13,72,False
2014-04-14,84,False
2014-04-15,77,False
2014-04-16,77,False
2014-04-17,81,False
2014-04-18,81,False
2014-04-19,75,False
2014-04-20,84,False
2014-04-21,88,False
2014-04-22,79,False
2014-04-23,80,False
2014-04-24,89,False
2014-04-25,69,False
2014-04-26,84,False
2014-04-27,77,False
2014-04-28,84,False
2014-04-29,84,False
2014-04-30,85,False
2014-05-01,83,False
2014-05-02,79,False
2014-05-03,82,False
2014-05-04,80,False
2014-05-05,74,False
2014-05-06,80,False
2014-05-07,79,False
2014-05-08,82,False
2014-05-09,88,False
2014-05-10,80,False
2014-05-11,80,False
2014-05-12,88,False
2014-05-13,90,False
2014-05-14,86,False
2014-05-15,77,False
2014-05-16,79,False
2014-05-17,88,False
2014-05-18,100,False
2014-05-19,92,False
2014-05-20,80,False
2014-05-21,73,False
2014-05-22,68,False
2014-05-23,78,False
2014-05-24,66,False
2014-05-25,78,False
2014-05-26,74,False
2014-05-27,78,False
2014-05-28,72,False
2014-05-29,76,False
2014-05-30,64,False
2014-05-31,81,False
2014-06-01,94,False
2014-06-02,80,False
2014-06-03,91,False
2014-06-04,84,False
2014-06-05,72,False
2014-06-06,86,False
2014-06-07,78,False
2014-06-08,80,False
2014-06-09,80,False
2014-06-10,75,False
2014-06-11,90,False
2014-06-12,71,False
2014-06-13,72,False
2014-06-14,66,False
2014-06-15,63,False
2014-06-16,69,False
2014-06-17,69,False
2014-06-18,68,False
2014-06-19,64,False
2014-06-20,71,False
2014-06-21,68,False
2014-06-22,82,False
2014-06-23,73,False
2014-06-24,67,False
2014-06-25,68,False
2014-06-26,75,False
2014-06-27,68,False
2014-06-28,68,False
2014-06-29,80,False
2014-06-30,88,False
2014-07-01,74,False
2014-07-02,74,False
2014-07-03,84,False
2014-07-04,71,False
2014-07-05,65,False
2014-07-06,78,False
2014-07-07,73,False
2014-07-08,78,False
2014-07-09,61,False
2014-07-10,77,False
2014-07-11,68,False
2014-07-12,67,False
2014-07-13,73,False
2014-07-14,76,False
2014-07-15,76,False
2014-07-16,77,False
2014-07-17,74,False
2014-07-18,71,False
2014-07-19,66,False
2014-07-20,85,False
2014-07-21,78,False
2014-07-22,81,False
2014-07-23,83,False
2014-07-24,74,False
2014-07-25,64,False
2014-07-26,75,False
2014-07-27,81,False
2014-07-28,89,False
2014-07-29,80,False
2014-07-30,78,False
2014-07-31,75,False
2014-08-01,71,False
2014-08-02,76,False
2014-08-03,76,False
2014-08-04,81,False
2014-08-05,65,False
2014-08-06,78,False
2014-08-07,80,False
2014-08-08,73,False
2014-08-09,70,False
2014-08-10,90,False
2014-08-11,81,False
2014-08-12,81,False
2014-08-13,71,False
2014-08-14,75,False
2014-08-15,76,False
2014-08-16,73,False
2014-08-17,71,False
2014-08-18,78,False
2014-08-19,71,False
2014-08-20,79,False
2014-08-21,76,False
2014-08-22,74,False
