date,FANG,isPartial
2018-11-29,59,False
2018-11-30,58,False
2018-12-01,56,False
2018-12-02,66,False
2018-12-03,58,False
2018-12-04,58,False
2018-12-05,56,False
2018-12-06,57,False
2018-12-07,57,False
2018-12-08,59,False
2018-12-09,65,False
2018-12-10,57,False
2018-12-11,62,False
2018-12-12,55,False
2018-12-13,55,False
2018-12-14,57,False
2018-12-15,57,False
2018-12-16,64,False
2018-12-17,58,False
2018-12-18,56,False
2018-12-19,58,False
2018-12-20,60,False
2018-12-21,61,False
2018-12-22,61,False
2018-12-23,60,False
2018-12-24,60,False
2018-12-25,54,False
2018-12-26,65,False
2018-12-27,56,False
2018-12-28,65,False
2018-12-29,59,False
2018-12-30,67,False
2018-12-31,58,False
2019-01-01,60,False
2019-01-02,66,False
2019-01-03,56,False
2019-01-04,62,False
2019-01-05,64,False
2019-01-06,65,False
2019-01-07,56,False
2019-01-08,61,False
2019-01-09,65,False
2019-01-10,63,False
2019-01-11,65,False
2019-01-12,76,False
2019-01-13,71,False
2019-01-14,63,False
2019-01-15,61,False
2019-01-16,58,False
2019-01-17,56,False
2019-01-18,65,False
2019-01-19,64,False
2019-01-20,66,False
2019-01-21,58,False
2019-01-22,56,False
2019-01-23,64,False
2019-01-24,56,False
2019-01-25,59,False
2019-01-26,68,False
2019-01-27,70,False
2019-01-28,61,False
2019-01-29,57,False
2019-01-30,59,False
2019-01-31,64,False
2019-02-01,61,False
2019-02-02,65,False
2019-02-03,62,False
2019-02-04,55,False
2019-02-05,59,False
2019-02-06,55,False
2019-02-07,51,False
2019-02-08,53,False
2019-02-09,60,False
2019-02-10,66,False
2019-02-11,61,False
2019-02-12,55,False
2019-02-13,51,False
2019-02-14,56,False
2019-02-15,60,False
2019-02-16,59,False
2019-02-17,62,False
2019-02-18,59,False
2019-02-19,56,False
2019-02-20,59,False
2019-02-21,59,False
2019-02-22,53,False
2019-02-23,70,False
2019-02-24,61,False
2019-02-25,54,False
2019-02-26,59,False
2019-02-27,55,False
2019-02-28,51,False
2019-03-01,48,False
2019-03-02,59,False
2019-03-03,62,False
2019-03-04,58,False
2019-03-05,58,False
2019-03-06,57,False
2019-03-07,64,False
2019-03-08,59,False
2019-03-09,63,False
2019-03-10,68,False
2019-03-11,58,False
2019-03-12,56,False
2019-03-13,55,False
2019-03-14,60,False
2019-03-15,56,False
2019-03-16,60,False
2019-03-17,59,False
2019-03-18,64,False
2019-03-19,62,False
2019-03-20,63,False
2019-03-21,55,False
2019-03-22,59,False
2019-03-23,58,False
2019-03-24,61,False
2019-03-25,54,False
2019-03-26,53,False
2019-03-27,51,False
2019-03-28,55,False
2019-03-29,56,False
2019-03-30,57,False
2019-03-31,62,False
2019-04-01,51,False
2019-04-02,65,False
2019-04-03,56,False
2019-04-04,56,False
2019-04-05,54,False
2019-04-06,65,False
2019-04-07,57,False
2019-04-08,52,False
2019-04-09,54,False
2019-04-10,51,False
2019-04-11,56,False
2019-04-12,60,False
2019-04-13,61,False
2019-04-14,74,False
2019-04-15,58,False
2019-04-16,57,False
2019-04-17,53,False
2019-04-18,58,False
2019-04-19,62,False
2019-04-20,65,False
2019-04-21,65,False
2019-04-22,61,False
2019-04-23,61,False
2019-04-24,57,False
2019-04-25,58,False
2019-04-26,54,False
2019-04-27,59,False
2019-04-28,56,False
2019-04-29,57,False
2019-04-30,48,False
2019-05-01,56,False
2019-05-02,54,False
2019-05-03,50,False
2019-05-04,60,False
2019-05-05,61,False
2019-05-06,54,False
2019-05-07,58,False
2019-05-08,52,False
2019-05-09,56,False
2019-05-10,57,False
2019-05-11,58,False
2019-05-12,57,False
2019-05-13,49,False
2019-05-14,82,False
2019-05-15,100,False
2019-05-16,79,False
2019-05-17,86,False
2019-05-18,84,False
2019-05-19,85,False
2019-05-20,65,False
2019-05-21,64,False
2019-05-22,64,False
2019-05-23,58,False
2019-05-24,62,False
2019-05-25,66,False
2019-05-26,63,False
2019-05-27,60,False
2019-05-28,57,False
2019-05-29,56,False
2019-05-30,58,False
2019-05-31,62,False
2019-06-01,63,False
2019-06-02,67,False
2019-06-03,59,False
2019-06-04,63,False
2019-06-05,58,False
2019-06-06,51,False
2019-06-07,57,False
2019-06-08,57,False
2019-06-09,59,False
2019-06-10,54,False
2019-06-11,56,False
2019-06-12,57,False
2019-06-13,57,False
2019-06-14,62,False
2019-06-15,66,False
2019-06-16,62,False
2019-06-17,59,False
2019-06-18,55,False
2019-06-19,57,False
2019-06-20,63,False
2019-06-21,66,False
2019-06-22,59,False
2019-06-23,65,False
2019-06-24,61,False
2019-06-25,61,False
2019-06-26,57,False
2019-06-27,53,False
2019-06-28,60,False
2019-06-29,68,False
2019-06-30,66,False
2019-07-01,80,False
2019-07-02,83,False
2019-07-03,76,False
2019-07-04,81,False
2019-07-05,76,False
2019-07-06,89,False
2019-07-07,86,False
2019-07-08,90,False
2019-07-09,81,False
2019-07-10,81,False
2019-07-11,75,False
2019-07-12,87,False
2019-07-13,90,False
2019-07-14,86,False
2019-07-15,73,False
2019-07-16,81,False
2019-07-17,81,False
2019-07-18,76,False
2019-07-19,83,False
2019-07-20,87,False
2019-07-21,82,False
2019-07-22,81,False
2019-07-23,76,False
2019-07-24,75,False
2019-07-25,75,False
2019-07-26,79,False
2019-07-27,91,False
2019-07-28,81,False
2019-07-29,70,False
2019-07-30,77,False
2019-07-31,74,False
2019-08-01,74,False
2019-08-02,81,False
2019-08-03,76,False
2019-08-04,82,False
2019-08-05,82,False
2019-08-06,78,False
2019-08-07,81,False
2019-08-08,76,False
2019-08-09,80,False
2019-08-10,81,False
2019-08-11,83,False
2019-08-12,85,False
2019-08-13,81,False
2019-08-14,80,False
2019-08-15,82,False
2019-08-16,85,False
2019-08-17,80,False
2019-08-18,86,False
2019-08-19,77,False
2019-08-20,78,False
2019-08-21,85,False
2019-08-22,80,False
2019-08-23,83,False
2019-08-24,82,False
2019-08-25,78,False
2019-08-26,79,False
2019-08-27,80,False
2019-08-28,86,False
2019-08-29,78,False
2019-08-30,92,False
2019-08-31,90,False
2019-09-01,85,False
2019-09-02,81,False
2019-09-03,86,False
2019-09-04,83,False
2019-09-05,89,False
2019-09-06,85,False
2019-09-07,94,False
2019-09-08,97,False
2019-09-09,84,False
2019-09-10,90,False
2019-09-11,87,False
2019-09-12,83,False
2019-09-13,89,False
2019-09-14,93,False
2019-09-15,93,False
2019-09-16,84,False
2019-09-17,83,False
2019-09-18,81,False
2019-09-19,81,False
2019-09-20,81,False
2019-09-21,75,False
2019-09-22,86,False
2019-09-23,77,False
2019-09-24,78,False
2019-09-25,77,False
2019-09-26,78,False
2019-09-27,78,False
2019-09-28,85,False
2019-09-29,84,False
2019-09-30,75,False
2019-10-01,75,False
2019-10-02,99,False
2019-10-03,92,False
2019-10-04,95,False
2019-10-05,91,False
2019-10-06,95,False
2019-10-07,87,False
2019-10-08,89,False
2019-10-09,85,False
2019-10-10,81,False
2019-10-11,78,False
2019-10-12,100,False
2019-10-13,97,False
2019-10-14,87,False
2019-10-15,86,False
2019-10-16,81,False
2019-10-17,77,False
2019-10-18,83,False
2019-10-19,92,False
2019-10-20,87,False
2019-10-21,82,False
2019-10-22,80,False
2019-10-23,84,False
2019-10-24,87,False
2019-10-25,83,False
2019-10-26,91,False
2019-10-27,92,False
2019-10-28,83,False
2019-10-29,79,False
2019-10-30,77,False
2019-10-31,79,False
2019-11-01,86,False
2019-11-02,80,False
2019-11-03,83,False
2019-11-04,90,False
2019-11-05,82,False
2019-11-06,79,False
2019-11-07,74,False
2019-11-08,84,False
2019-11-09,84,False
2019-11-10,86,False
2019-11-11,82,False
2019-11-12,81,False
2019-11-13,83,False
2019-11-14,81,False
2019-11-15,88,False
2019-11-16,90,False
2019-11-17,91,False
2019-11-18,85,False
2019-11-19,85,False
2019-11-20,88,False
2019-11-21,82,False
2019-11-22,83,False
2019-11-23,88,False
2019-11-24,87,False
2019-11-25,79,False
2019-11-26,79,False
2019-11-27,76,False
2019-11-28,76,False
2019-11-29,79,False
2019-11-30,87,False
2019-12-01,81,False
2019-12-02,73,False
2019-12-03,80,False
2019-12-04,78,False
2019-12-05,80,False
2019-12-06,81,False
2019-12-07,96,False
2019-12-08,83,False
2019-12-09,79,False
2019-12-10,73,False
2019-12-11,75,False
2019-12-12,77,False
